question,reference,prediction,topic,rougeL,ref_len,pred_len,len_ratio
Thạch hộc là loại cây sống phụ sinh trên gì?,Thân cây gỗ hoặc những vách đá.,Thạch hộc là loại cây sống phụ sinh trên thân cây gỗ hoặc những vách đá.,3,0.5945945945945945,7,16,2.2857142853877552
"Theo nghiên cứu năm 2015, chiết xuất etanol và của hoa đu đủ đực tác động như thế nào trên dòng tế bào MCF-7 (ung thư vú)?",Gây độc tế bào.,Chiết xuất etanol và của hoa đu đủ đực gây độc tế bào trên dòng tế bào MCF-7 (ung thư vú).,3,0.34285714285714286,4,21,5.2499999986875
Có phải càng lớn tuổi sản xuất nước mắt của cơ thể càng ít đi?,"Đúng vậy, quá trình lão hóa làm giảm sản xuất nước mắt, đây là một nguyên nhân phổ biến của khô mắt.",Càng lớn tuổi sản xuất nước mắt sẽ càng ít đi.,1,0.42105263157894735,22,11,0.49999999997727274
Mục đích của việc xét nghiệm sinh hóa máu là gì?,"Mục đích của việc xét nghiệm sinh hóa máu là để phát hiện sự thay đổi nồng độ các men gan như ALT và AST, giúp chẩn đoán ung thư phổi di căn gan.",Xét nghiệm máu giúp phát hiện những sự thay đổi đó.,1,0.39999999999999997,34,11,0.32352941175519034
Cây mâm xôi có thể dùng để làm gì?,Cây mâm xôi có thể dùng để ăn quả hoặc làm mứt. Quả phơi sấy khô thường dùng làm thuốc.,Cây mâm xôi có thể dùng để làm thuốc.,3,0.6086956521739131,20,9,0.4499999999775
Nữ trinh tử và xấu hổ có đặc điểm gì giống nhau?,Cả hai đều thuộc họ Trinh nữ (Mimosaceae).,"Cây xấu hổ có quả hình trứng hoặc hình bầu dục, có quả hơi cong, dài 7mm  10mm, đường kính khoảng 3mm, vỏ ngoài màu đen xám, có vằn nhăn, hai đầu tròn tày, một đầu có vết của cuống quả.",3,0.136986301369863,8,41,5.124999999359375
"Để tránh lây bệnh nấm da đùi, người dùng nên hạn chế điều gì?",Sử dụng chung vật dụng cá nhân với người khác.,"Để tránh lây bệnh nấm da đùi, người dùng nên hạn chế dùng chung đồ dùng cá nhân như khăn lau.",1,0.375,10,21,2.09999999979
Liều khởi đầu của thuốc Cozaar thường là bao nhiêu?,"Liều khởi đầu thường là 50 mg, hiệu chỉnh liều tùy theo đáp ứng lâm sàng của từng bệnh nhân.",Liều khởi đầu của thuốc Cozaar thường là 50 mg.,2,0.41666666666666663,20,10,0.499999999975
Tinh trùng được tạo ra ở đâu và chúng mang bao nhiêu nhiễm sắc thể?,"Tinh trùng được tạo ra ở tinh hoàn, mang 23 nhiễm sắc thể.","Tinh trùng được tạo ra ở tinh hoàn, mang 23 nhiễm sắc thể. Tức là một nửa số nhiễm sắc thể để tạo thành con người (23 cặp).",0,0.5964912280701754,13,28,2.1538461536804734
Phạm vi purin được tìm thấy trong thực phẩm có thể khác nhau như thế nào?,"Phạm vi purin được tìm thấy trong thực phẩm có thể rất khác nhau, với hầu hết các loại thực phẩm chứa từ 10 đến 15 mg purin trong mỗi khẩu phần 1/2 cốc. Tuy nhiên, một số loại thực phẩm có thể chứa từ 500 đến 1.000 mg hoặc hơn trong cùng một khẩu phần này.",Phạm vi purin được tìm thấy trong thực phẩm có thể rất khác nhau.,0,0.375,57,14,0.2456140350834103
Đâu là những ảnh hưởng của bệnh mềm sụn thanh quản?,"Mềm sụn thanh quản khiến trẻ dễ mắc trào ngược, dày thực quản hơn bình thường. Nguyên nhân là do trẻ phải tạo ra áp lực âm lớn hơn trong lồng ngực để vượt qua chỗ tắc nghẹt đường thở. Trào ngược lại có thể có những biểu hiện giống như mềm sụn thanh quản do tác động của dịch trào ngược.",Bệnh mềm sụn thanh quản được cho là do sự chậm trưởng thành của các cấu trúc chống đỡ ở thanh quản.,1,0.31343283582089554,62,22,0.3548387096716962
Khi đau răng khôn nên làm gì?,"Khi đau răng khôn, nên cân nhắc thật kỹ trước khi sử dụng thuốc giảm đau và nên đến gặp nha sĩ sớm nhất có thể để được điều trị triệt để.","Khi đau răng khôn, bạn nên uống thuốc Panadol.",1,0.39344262295081966,32,9,0.281249999991211
Mỗi ngày nên dùng bao nhiêu dầu hạt sòi trắng để trị đại tiện không thông?,1 thìa.,Nên dùng 1 thìa dầu hạt sòi trắng mỗi ngày.,3,0.2727272727272727,2,10,4.9999999975
Xoắn ống dẫn trứng thường xảy ra cùng với xoắn buồng trứng không?,"Xoắn ống dẫn trứng thường xảy ra cùng với xoắn buồng trứng, tuy nhiên tình trạng cũng có thể tự xảy ra, mặc dù trường hợp này rất hiếm.",Xoắn ống dẫn trứng thường xảy ra cùng với xoắn buồng trứng.,0,0.6111111111111112,29,12,0.41379310343400716
Bệnh ghẻ lây lan qua những con đường nào?,"Bệnh ghẻ lây lan qua việc mặc chung quần áo, sử dụng chung mền, gối, khăn tắm,... với người bị bệnh ghẻ.",Bệnh ghẻ lây lan qua đường phân - miệng.,0,0.42553191489361697,22,9,0.40909090907231405
Các dấu hiệu thường gặp nhất của bệnh rỗng tủy sống là gì?,"Các dấu hiệu thường gặp nhất của bệnh rỗng tủy sống bao gồm teo cơ, teo da, thân nhiễm tầng chân bì, loét, bệnh khớp do thần kinh, mất phản xạ gân, mất nhạy cảm với đau và nhiệt độ, nhức đầu, cứng khớp, đau và cong vẹo cột sống.","Các dấu hiệu thường gặp nhất của bệnh rỗng tủy sống bao gồm: Teo cơ, xuất hiện ở cả hai bên, thường không đối xứng và bắt đầu ở những cơ của bàn tay (bàn tay khỉ, bàn tay có vuốt, bàn tay nhà thuyết giáo), Teo da, thân nhiễm tầng chân bì, loét (chín mé không đau Morvan), bệnh khớp do thần kinh xảy ra ở chi trên, mất phản xạ gân, mất nhạy cảm với đau và nhiệt độ, nhức đầu, cứng khớp ở lưng, vai, cánh tay và chân, đau ở cổ, cánh tay và lưng, cong vẹo cột",1,0.6835443037974684,50,102,2.0399999999592002
Có thể xảy ra tình trạng phổi bị xẹp do gãy xương sườn không?,"Đúng, đầu xương gãy có thể đâm chọc vào phổi, khiến phổi bị xẹp.","Có, tình trạng phổi bị xẹp do gãy xương sườn là do đầu xương gãy đâm chọc vào phổi, gây tràn máu vào màng phổi, tràn khí màng phổi.",1,0.4444444444444444,14,29,2.071428571280612
Khi nào thì động tác gập khuỷu tay gây cảm giác rất đau khi bị viêm bao hoạt dịch khớp?,Trong trường hợp viêm mãn tính.,Động tác gập khuỷu tay gây cảm giác rất đau khi bị viêm bao hoạt dịch khớp khi viêm mãn tính.,0,0.34782608695652173,6,21,3.4999999994166666
Thành phần nào trong Khoai nưa gây ngứa?,Tinh bột Konjac Glucomannan.,Thành phần gây ngứa của Khoai nưa là tinh bôt với tên gọi là Konjac Glucomannan với hàm lượng dồi dào.,3,0.24390243902439027,4,21,5.2499999986875
Nguyên nhân thường gặp gây tiểu buốt ở phụ nữ là gì?,Nhiễm trùng đường tiểu.,Nguyên nhân thường gặp gây tiểu buốt ở phụ nữ là do nhiễm trùng đường tiểu.,1,0.43750000000000006,4,16,3.999999999
Nội soi đại tràng được sử dụng để làm gì trong quá trình chẩn đoán bệnh Crohn?,"Nội soi đại tràng cho phép bác sĩ nhìn thấy toàn bộ hoặc một phần đại tràng, giúp phát hiện các tổn thương. Nếu phát hiện tổn thương, bác sĩ sẽ lấy một mẫu mô nhỏ để xét nghiệm.",Nội soi đại tràng được sử dụng để cho phép nhìn thấy toàn bộ hoặc một phần đại tràng.,1,0.5263157894736842,39,19,0.48717948716699544
Liều lượng và cách dùng bài thuốc Thanh táo như thế nào?,"Sắc các dược phẩm trên trong nước và uống, sử dụng hết trong ngày.","Mỗi vị 10g Rễ Thanh táo, miết giáp, địa cốt bì, sài hồ, Đương quy, Tri mẫu, Mỗi vị 5g; Thanh cao, Ô mai mỗi vị 4g. Sắc uống trong ngày.",3,0.24242424242424246,14,31,2.214285714127551
Bệnh Tay-Sachs là gì?,"Bệnh Tay-Sachs là một bệnh thoái hóa thần kinh hiếm gặp, liên quan đến gen di truyền gây thiếu hụt một loại enzyme cần thiết cho cơ thể.","Bệnh Tay-Sachs là một bệnh thoái hóa thân kinh hiêm găp liên quan đên gen di truyền gây thiếu hụt một loại enzyme cân thiêt cho cơ thê là enzyme hexosaminidase A (một enzyme phân hủy chât béo), dẫn đến sự tích tụ quá mức một số chất béo trong não và tế bào thần kinh (được gọi là ganglioside). Sự tích tụ quá mức một số chất béo trong não và tế bào thần kinh (được gọi là ganglioside). Sự tích tụ quá mức",1,0.5257142857142858,28,85,3.0357142856058674
"Khi sử dụng tinh dầu hoa cam, tôi cần lưu ý điều gì để tránh các phản ứng trên da?","Để tránh các phản ứng trên da khi sử dụng tinh dầu hoa cam, bạn nên hạn chế tiếp xúc với ánh nắng mặt trời, đồng thời sử dụng kem chống nắng khi ra ngoài trời.","Khi sử dụng tinh dầu hoa cam, bạn nên tránh tiếp xúc với ánh nắng mặt trời.",3,0.6190476190476191,36,17,0.472222222209105
Thuốc Apitim được dùng trong những trường họp như nhau?,Thuốc được dùng để trị các trường họp tăng huyết áp (ở những bệnh nhan đai tháp đường hoặc biến chứng chuyển hóa).,Thuốc được dùng trong những trường họp như nhau.,2,0.4,23,9,0.39130434780907375
Phương pháp nào thường được sử dụng để phát hiện sự tồn tại của virus trong dịch não tủy?,Phương pháp thường thông qua RT – PCR dịch não tuỷ.,RT  PCR dịch não tủy là phương pháp được sử dụng để phát hiện sự tồn tại của virus trong dịch não tủy.,1,0.34615384615384615,11,23,2.090909090719008
Thuốc nào được sử dụng để điều trị bệnh ho gà?,Thuốc kháng sinh được sử dụng để điều trị bệnh ho gà.,Thuốc kháng sinh.,1,0.47619047619047616,12,3,0.24999999997916666
Những rối loạn tâm thần nào thường đi kèm với mất ngủ?,"Một người có rối loạn mất ngủ thường đi kèm với những rối loạn tâm thần khác, đặc biệt là rối loạn lưỡng cực, trầm cảm hoặc rối loạn lo âu.","Rối loạn lưỡng cực, trầm cảm hoặc rối loạn lo âu.",1,0.5333333333333333,31,11,0.3548387096659729
Người bị đau dây thần kinh liên sườn có nên chủ quan không?,"Không nên chủ quan vì đau dây thần kinh liên sườn là căn bệnh không tự khỏi được và kéo dài nhiều ngày, gây đau mỏi dai dẳng. Nếu không điều trị kịp thời, lâu ngày, bệnh có thể tiến triển gây liệt tay chân. Bệnh cũng có thể gây mất chức năng vận động.","Không, bệnh nhân không nên coi thường, chủ quan khi bị đau dây thần kinh liên sườn.",1,0.2689075630252101,55,17,0.3090909090852893
Bệnh suy gan cấp xuất hiện các triệu chứng nào?,"Bệnh suy gan cấp có các triệu chứng phổ biến là buồn nôn, chán ăn, mệt mỏi, vàng da, chảy máu bất thường, tích nước và lú lẫn.",Trên 50% bệnh nhân suy gan cấp có biểu hiện suy thận.,1,0.3333333333333333,28,12,0.42857142855612246
Liệu tôi có thể dùng Carbocistein mà không cần tham vấn ý kiến của bác sĩ không?,"Không, không nên dùng Carbocistein mà không tham vấn ý kiến của bác sĩ. Để cá nhân hoá liều dùng cho từng đối tượng nhằm đạt được hiệu quả điều trị tốt nhất, hãy tham vấn ý kiến của bác sĩ hoặc chuyên gia y tế trước khi sử dụng Carbocistein.","Không, bạn cần tham vấn ý kiến của chuyên gia y tế trước khi sử dụng Carbocistein.",2,0.47524752475247517,51,17,0.33333333332679743
Tương tác Auclanityl xảy ra khi dùng thuốc kháng đông nào?,Thuốc kháng đông warfarin.,Thuốc kháng đông (warfarin) có thể gây ra tương tác Auclanityl khi dùng thuốc kháng đông.,2,0.4,4,16,3.999999999
Chiết xuất lá ổi có tác dụng như thế nào đối với bệnh đái tháo đường?,"Chiết xuất từ lá và vỏ cây ổi có chất ức chế α-glucosidase và chất ức chế α-amylase. Chiết xuất lá ổi cải thiện sự hấp thu glucose trong các tế bào cơ, làm tăng hàm lượng chất béo trung tính trong tế bào mỡ. Do đó, chất chiết xuất từ ​​lá và vỏ cây ổi có thể có ứng dụng trong tương lai trong điều trị bệnh đái tháo đường tuýp 2.","Chiết xuất lá ổi có tác dụng điều trị bệnh đái tháo đường bằng cách ức chế -glucosidase và chất ức chế -amylase, từ đó cải thiện sự hấp thu glucose trong các tế bào cơ.",3,0.46052631578947373,73,36,0.49315068492475134
Nêu các đối tượng cần tầm soát rối loạn lipid trong máu.,- Người có tiền sử đái tháo đường týp 2,"Các đối tượng cần tầm soát rối loạn lipid trong máu bao gồm: thực hiện bộ xét nghiệm lipid ở các đối tượng bị đái tháo đường type 2, tăng huyết áp, bệnh mạch vành, hút thuốc lá, BMI  25 kg/m2 hoặc vòng eo > 90 cm đối với nam và > 80 cm đối với nữ.",1,0.2105263157894737,10,57,5.69999999943
Đại tràng ngang có đặc điểm gì về vị trí?,"Đại tràng ngang nằm trong phúc mạc, do đó nó có thể di động được (không giống như đại tràng lên và đại tràng xuống).",Đại tràng ngang nằm ngay trên đại tràng ngang.,0,0.46808510638297873,25,9,0.3599999999856
"Bệnh nhân suffering suffering phổi tắc nghẽn mạn tính (COPD), hội chứng thận hư có thể sử dụng Alpha chymotrypsin không?","Bệnh nhân suffering suffering phổi tắc nghẽn mạn tính (COPD), đặc biệt là khí phế thủng và hội chứng thận hư thuộc nhóm nguy cơ giảm alpha-1 antitrypsin, do đó cần tránh dùng Alpha chymotrypsin.","Không, bệnh nhân suffering suffering phổi tắc nghẽn mạn tính (COPD) không được sử dụng Alpha chymotrypsin.",2,0.6,35,17,0.4857142857004082
Những loại thuốc nào cần lưu ý khi dùng chung với Daktarin (miconazol)?,"Cần lưu ý khi sử dụng chung Daktarin với các loại thuốc sau: Phenytoin, Ergotamin, Triazolam và midazolam đường uống.","Cần lưu ý khi dùng chung Daktarin với các thuốc sau: Phenytoin, Ergotamin, Triazolam và midazolam đường uống, chất ức chế men HIV protease như saquinavir, thuốc chống đông máu đường uống như warfarin, thuốc hạ đường huyết đường uống như warfarin, thuốc hạ đường huyết đường uống như warfarin, thuốc hạ đường huyết đường uống như warfarin, thuốc hạ đường huyết đường uống như warfarin, thuốc hạ đường huyết đường uống như warfarin, thuốc hạ đường huyết đường uống như warfarin, thuốc hạ đường huyết đường uống như warfarin, thuốc hạ",2,0.31578947368421056,20,92,4.59999999977
Amoxicilin 500 mg có hạn sử dụng trong bao lâu?,"Amoxicilin 500 mg có hạn sử dụng là 24 tháng kể từ ngày sản xuất. Vì vậy, người sử dụng phải đọc kỹ hạn dùng thuốc để tránh trường hợp sử dụng thuốc quá hạn.",Thuốc có hạn sử dụng 24 tháng kể từ ngày sản xuất.,2,0.47222222222222215,35,12,0.342857142847347
Nếu nồng độ F trong thực phẩm không đáng kể khi uống vào cơ thể thì lượng F tích tụ được là bao nhiêu?,"Khá nhỏ, F vẫn được hấp thụ nhưng không đáng kể.",Nếu nồng độ Fluor trong thực phẩm không đáng kể khi uống vào cơ thể thì lượng F tích tụ được là 50mg.,0,0.26086956521739135,11,23,2.090909090719008
Đa xơ cứng là bệnh gì?,"Đa xơ cứng là bệnh lý dẫn đến các vấn đề về thị giác, tê bì, yếu cơ hoặc các triệu chứng thần kinh khác, do hệ miễn dịch của cơ thể tấn công các tế bào thần kinh và làm tổn thương các liên kết thần kinh ở não bộ hoặc tủy sống.","Đa xơ cứng là bệnh lý dẫn đến các vấn đề về thị giác, tê bì, yếu cơ hoặc các triệu chứng thần kinh khác.",1,0.6115702479338843,54,25,0.4629629629543896
Làm thế nào để chẩn đoán ung thư vú di căn?,Ung thư vú di căn được chẩn đoán theo hai cách: chẩn đoán thông qua triệu chứng và qua xét nghiệm.,"Ung thư vú di căn có thể biểu hiện tại chỗ tại vùng hoặc biểu hiện tại vị trí di căn xa. Các biểu hiện tại chỗ tại vùng như: khối bướu trong vú không đau, bướu lớn, tiến triển tại chỗ, dính da, lở loét, phù nề da (dấu da cam), núm vú thụt, hạch nách hạch cổ.",1,0.2903225806451613,21,59,2.8095238093900226
Bệnh nhân mắc bệnh hen suyễn có thể sử dụng Aspilets EC không?,"Không, vì Aspilets EC có thể làm cho bệnh hen suyễn nặng hơn.",Bệnh nhân mắc bệnh hen suyễn không nên sử dụng Aspilets EC vì co thắt phế quản và viêm mũi có thể trầm trọng hơn trong trường hợp bất dung nạp acid acetylsalicylic.,2,0.30985915492957744,13,33,2.5384615382662723
"Sau khi sử dụng Benda, phụ nữ phải chờ bao lâu mới có thể mang thai?",Ít nhất 1 tháng.,Ít nhất 1 tháng mới có thể mang thai.,2,0.6666666666666666,4,9,2.2499999994375
Tiêm vắc-xin dại có gây ngu đần hay không?,"Không, tiêm vắc-xin dại không gây ra triệu chứng ngu đần hay mất trí nhớ.","Tiêm vắc-xin dại có thể gây ngu đần, mất trí nhớ, điều này hoàn toàn vô căn cứ và không có một tài liệu nghiên cứu nào chứng minh được điều này.",1,0.3846153846153846,15,32,2.133333333191111
Bác sĩ sẽ theo dõi nồng độ canxi máu với tần suất như thế nào?,4 – 6 giờ một lần.,"Bác sĩ sẽ kiểm tra nồng độ canxi máu 4  6 giờ một lần để điều chỉnh nồng độ trong khoảng 7  8,5 mg/100 ml (70  85 mg/L).",1,0.3111111111111111,6,28,4.666666665888889
Phần chế tiết này nối với hệ thống nào để dẫn lưu nước bọt?,Hệ thống ống bài xuất dẫn lưu nước bọt vào hốc miệng.,Hệ thống ống bài xuất.,0,0.5333333333333333,12,5,0.41666666663194446
Mất nước ảnh hưởng như thế nào đến khả năng điều chỉnh nhiệt độ của cơ thể?,"Mất nước khiến cơ thể khó khăn hơn trong việc tiết mồ hôi, điều này làm giảm khả năng làm mát của cơ thể.",Mất nước có thể làm tăng nhiệt độ cơ thể.,1,0.4444444444444444,24,10,0.4166666666493056
Bằng cách nào để biết rằng trẻ có đang mắc phải rối loạn phản ứng gắn bó hay không?,"Nếu bạn muốn biết rằng trẻ có đang mắc phải rối loạn phản ứng gắn bó hay không, thì bạn nên đưa trẻ đến gặp bác sĩ chuyên về tâm thần nhi ngay khi nghi ngờ, vì có một số rối loạn khác như rối loạn phổ tự kỷ cũng có những dấu hiệu tương tự, có thể gây nhầm lẫn.",Hãy cân nhắc đưa trẻ đến gặp bác sĩ chuyên về tâm thần nhi hay bác sĩ tâm lý ngay khi nghi ngờ.,1,0.3622047244094488,61,23,0.3770491803216877
Tổn thương da do nhiễm nấm có hình dạng như thế nào khi soi qua dung dịch KOH 10%?,Hình ảnh của bào tử và sợi nấm.,"Khi soi qua dung dịch KOH 10% dưới kính hiển vi, sẽ thấy hình ảnh của bào tử và sợi nấm.",1,0.5909090909090909,8,21,2.624999999671875
"Trong quá trình mang thai, âm đạo có thể bị ảnh hưởng như thế nào?","Trong quá trình mang thai, phụ nữ sẽ ngừng kinh nguyệt cho đến khi em bé chào đời. Dịch âm đạo thường tăng tiết dịch. Trong một số trường hợp, cần phải phẫu thuật cắt tầng sinh môn để tạo lỗ mở rộng hơn cho em bé ra ngoài.","Trong quá trình mang thai, âm đạo sẽ ngừng kinh nguyệt cho đến khi em bé chào đời.",0,0.43010752688172044,49,18,0.36734693876801333
Bệnh mãn tính nào làm tăng nguy cơ thiếu máu thiếu sắt?,"Tiêu chảy kéo dài, giun móc.",Tiêu chảy kéo dài và giun móc là những bệnh mãn tính làm tăng nguy cơ thiếu máu thiếu sắt.,1,0.4782608695652174,6,20,3.333333332777778
Có mấy giả thuyết chính để giải thích nguyên nhân hẹp eo động mạch chủ?,Có 2 giả thuyết chính được đưa ra.,Có hai giả thuyết chính để giải thích nguyên nhân hẹp eo động mạch chủ là giảm dòng máu tới tử cung và vùng mô của thành động mạch chủ bị dày lên bất thường do mô từ đoạn động mạch khác bò sang.,1,0.2105263157894737,8,44,5.4999999993125
"Ở mức độ một của giãn dây chằng, sau khi chịu tác động, khớp vẫn hoạt động như thế nào?",Vẫn cử động bình thường.,"Sau khi chịu tác động, khớp vẫn hoạt động bình thường.",1,0.5384615384615385,5,11,2.19999999956
"Trong những trường độ, trẻ đổ mồ hôi lạnh có thể là dấu hiệu của bệnh nhiễm trùng?","Đổ mồ hôi lạnh có thể là dấu hiệu của bệnh nhiễm trùng khi trẻ có những biểu tượng như: Sót, quây khó, lạ run, hoặc bệnh nặng có thể dẫn tới nhiễm trùng huyệt gây đe dọa tính mạng.",Trẻ đổ mồ hôi lạnh có thể là dấu hiệu cảnh báo bệnh tim mạch ở trẻ.,1,0.4137931034482759,40,17,0.42499999998937504
Tác hại cụ thể của việc sử dụng quá liều Aluminium Phosphat Gel Pharmedic đối với cơ thể là gì?,"Sử dụng quá liều Aluminium Phosphat Gel Pharmedic có thể dẫn đến táo bón, nghĩa là ruột bị chậm hoạt động và khó đi tiêu, hoặc thậm chí tắc nghẽn ruột. Trong trường hợp nghiêm trọng hơn, nó cũng có thể dẫn đến sỏi thận, gây đau đớn và khó chịu.",Tác hại cụ thể của việc sử dụng quá liều Aluminium Phosphat Gel Pharmedic đối với cơ thể là táo bón hoặc tắc ruột.,2,0.3893805309734514,51,24,0.47058823528489047
Phụ tử chế được dùng để làm gì?,Phụ tử chế được dùng để làm thuốc chữa bệnh và sử dụng trong cuộc sống hằng ngày.,Phụ tử chế được dùng để chữa bệnh.,3,0.5405405405405406,18,8,0.44444444441975306
Nổi hạch dưới hàm có phải dấu hiệu ban đầu của ung thư không?,"Nổi hạch dưới hàm không phải là dấu hiệu ban đầu của ung thư. Tuy nhiên, đây là triệu chứng có thể xảy ra khi ung thư đã lan từ cơ quan khác trong cơ thể (di căn).","Đúng, nổi hạch dưới hàm là một trong những dấu hiệu ban đầu của ung thư.",1,0.49350649350649345,38,16,0.4210526315678671
Có thể thu hái các bộ phận nào của Mướp sát quanh năm?,"Có thể thu hái vỏ, lá và nhựa của Mướp sát quanh năm.","Vỏ, lá và nhựa quanh năm.",3,0.5925925925925926,13,6,0.4615384615029586
Trong những trường hợp nào cần sử dụng biện pháp tránh thai cơ học khi dùng Belara?,"Cần sử dụng biện pháp tránh thai cơ học trong 7 ngày đầu tiên dùng thuốc khi bắt đầu dùng thuốc vào ngày thứ 2 đến ngày thứ 5 của chu kỳ kinh nguyệt, khi chuyển từ thuốc tránh thai chỉ chứa progestogen, khi chuyển từ thuốc nội tiết tố để tránh thai dạng tiêm hoặc cấy dưới da, và khi bắt đầu dùng thuốc nhiều hơn 28 ngày sau khi sinh.",Cần sử dụng biện pháp tránh thai cơ học khi dùng Belara trong các trường hợp bắt đầu dùng thuốc nhiều hơn 28 ngày sau khi sinh.,2,0.5131578947368421,72,27,0.37499999999479167
Kiểm soát huyết áp để phòng ngừa biến chứng là quan trọng như thế nào đối với người bệnh tăng huyết áp?,"Kiểm soát huyết áp để phòng ngừa biến chứng là rất quan trọng đối với người bệnh tăng huyết áp vì các biến chứng này đều rất nặng và nhiều biến chứng không thể hồi phục, gây ảnh hưởng nghiêm trọng đến sức khỏe và chất lượng sống của người bệnh.",Kiểm soát huyết áp để phòng ngừa biến chứng là quan trọng đối với người bệnh tăng huyết áp.,1,0.5210084033613446,51,19,0.37254901960053827
Bệnh phình động mạch chủ có thể xảy ra ở đâu?,"Bệnh phình động mạch chủ có thể xảy ra ở mọi nơi suốt dọc chiều dài của động mạch chủ. Trong đó, 80-85% động mạch chủ bị phình xuất hiện ở đoạn dưới chỗ xuất phát các động mạch thận.",Bệnh phình động mạch chủ có thể xảy ra ở mọi nơi suốt dọc chiều dài của động mạch chủ.,1,0.673913043478261,40,20,0.49999999998750005
Những tác dụng phụ không mong muốn thường gặp khác của Mebendazole là gì?,"Ngoài các tác dụng phụ thường gặp, Mebendazole còn có thể gây ra các tác dụng phụ không mong muốn thường gặp khác như sốt, đau đầu, chóng mặt, rụng tóc.","Sốt, đau đầu, chóng mặt, rụng tóc.",2,0.375,31,7,0.22580645160561916
Có thể ăn mồng tơi khi đang mang thai không?,"Có, phụ nữ mang thai có thể ăn mồng tơi vì nó có nhiều công dụng tốt cho cả mẹ và bé.","Có, phụ nữ đang mang thai có thể ăn Mồng tơi vì nó có nhiều công dụng tốt cho sức khỏe như thanh nhiệt cơ thể, hỗ trợ giảm mỡ máu cho bà bầu, thúc đẩy tiêu hóa, nhờ vào chất xơ và nhầy dồi dào từ đó giảm tình trạng táo bón.",3,0.5333333333333333,22,53,2.4090909089814048
